<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20170315;190000;127.6300000;127.9000000;127.5600000;127.6000000
GAZP;60;20170316;110000;128.4200000;128.9800000;128.1200000;128.3500000
GAZP;60;20170316;120000;128.3800000;128.8900000;128.0100000;128.0900000
GAZP;60;20170316;130000;128.1200000;129.3000000;127.7700000;129.0200000
GAZP;60;20170316;140000;129.0200000;129.2900000;128.6700000;129.0000000
GAZP;60;20170316;150000;129.0200000;129.2000000;128.8200000;128.9300000
GAZP;60;20170316;160000;128.9300000;128.9800000;128.1000000;128.1500000
GAZP;60;20170316;170000;128.1500000;128.7700000;128.0800000;128.7500000
GAZP;60;20170316;180000;128.7500000;128.9000000;127.7100000;128.0000000
GAZP;60;20170316;190000;127.9900000;128.1800000;127.6100000;128.0500000
GAZP;60;20170317;110000;128.1300000;128.9700000;128.0100000;128.7800000
GAZP;60;20170317;120000;128.7900000;129.3300000;128.4300000;129.1400000
GAZP;60;20170317;130000;129.1400000;130.4200000;128.9000000;130.1700000
GAZP;60;20170317;140000;130.1300000;130.2800000;129.3800000;129.6000000
GAZP;60;20170317;150000;129.6200000;130.2600000;129.4600000;129.6800000
GAZP;60;20170317;160000;129.6800000;130.1700000;129.6500000;129.8700000
GAZP;60;20170317;170000;129.8300000;129.9700000;129.1300000;129.2000000
GAZP;60;20170317;180000;129.1800000;129.3000000;128.5000000;128.5900000
GAZP;60;20170317;190000;128.5900000;129.0500000;128.3700000;128.9400000
GAZP;60;20170320;110000;129.3400000;130.0000000;128.9100000;129.6300000
GAZP;60;20170320;120000;129.6700000;130.1300000;129.2300000;129.5400000
GAZP;60;20170320;130000;129.5500000;129.6300000;128.6100000;128.6600000
GAZP;60;20170320;140000;128.6600000;128.9000000;128.4100000;128.6000000
GAZP;60;20170320;150000;128.6400000;128.8200000;128.4200000;128.6500000
GAZP;60;20170320;160000;128.6500000;128.6600000;128.0200000;128.2600000
GAZP;60;20170320;170000;128.2400000;128.9400000;128.1500000;128.8100000
GAZP;60;20170320;180000;128.8300000;129.3200000;128.6500000;128.8100000
GAZP;60;20170320;190000;128.7600000;129.0000000;128.6200000;128.7900000
GAZP;60;20170321;110000;129.0200000;129.9000000;128.8200000;129.7700000
GAZP;60;20170321;120000;129.7700000;130.0500000;129.1600000;129.4100000
GAZP;60;20170321;130000;129.3600000;129.5000000;128.5100000;128.9100000
GAZP;60;20170321;140000;128.9000000;129.3800000;128.9000000;129.1500000
GAZP;60;20170321;150000;129.1500000;129.7500000;129.0800000;129.3700000
GAZP;60;20170321;160000;129.3800000;129.7500000;129.2500000;129.6100000
GAZP;60;20170321;170000;129.5800000;130.4200000;129.5500000;130.1200000
GAZP;60;20170321;180000;130.1300000;130.3500000;129.6500000;130.0400000
GAZP;60;20170321;190000;130.0500000;130.1000000;129.0000000;129.3000000
GAZP;60;20170322;110000;129.0700000;130.0400000;128.9000000;129.7000000
GAZP;60;20170322;120000;129.7200000;130.0400000;129.1800000;129.4500000
GAZP;60;20170322;130000;129.4800000;129.5800000;129.0200000;129.2700000
GAZP;60;20170322;140000;129.2500000;130.0000000;129.0700000;129.8800000
GAZP;60;20170322;150000;129.8700000;130.4100000;129.7200000;130.2100000
GAZP;60;20170322;160000;130.2100000;130.2900000;129.8300000;130.1900000
GAZP;60;20170322;170000;130.1900000;131.1000000;130.0000000;130.9300000
GAZP;60;20170322;180000;130.9600000;131.1000000;130.2600000;130.9700000
GAZP;60;20170322;190000;130.9700000;131.6500000;130.7900000;131.6500000
GAZP;60;20170323;110000;131.7900000;132.9400000;131.7000000;132.5000000
GAZP;60;20170323;120000;132.5100000;132.6400000;131.7000000;131.7700000
GAZP;60;20170323;130000;131.8000000;132.2100000;131.5500000;132.1700000
GAZP;60;20170323;140000;132.1700000;132.2400000;131.5200000;131.5200000
GAZP;60;20170323;150000;131.5200000;131.7600000;130.7200000;130.9300000
GAZP;60;20170323;160000;130.9100000;131.2100000;130.4000000;130.7100000
GAZP;60;20170323;170000;130.6400000;131.0000000;130.3400000;130.4000000
GAZP;60;20170323;180000;130.3900000;130.7600000;130.2200000;130.4500000
GAZP;60;20170323;190000;130.4700000;131.0000000;130.4200000;130.9900000
GAZP;60;20170324;110000;130.7700000;131.4800000;130.6700000;131.1700000
GAZP;60;20170324;120000;131.1700000;131.2400000;130.0500000;130.1700000
GAZP;60;20170324;130000;130.1900000;130.5000000;130.1300000;130.2200000
GAZP;60;20170324;140000;130.2000000;130.5000000;129.7200000;130.0500000
GAZP;60;20170324;150000;130.0200000;130.3700000;129.8200000;130.2100000
GAZP;60;20170324;160000;130.1900000;130.4400000;130.1000000;130.3000000
GAZP;60;20170324;170000;130.2800000;131.0400000;130.2400000;130.7900000
GAZP;60;20170324;180000;130.7400000;130.9100000;130.3100000;130.4100000
GAZP;60;20170324;190000;130.4000000;130.4200000;129.9400000;130.0500000
GAZP;60;20170327;110000;129.4500000;129.4700000;128.1100000;128.1500000
GAZP;60;20170327;120000;128.1900000;128.4200000;127.8800000;128.0800000
GAZP;60;20170327;130000;128.0600000;128.2300000;127.6200000;127.7300000
GAZP;60;20170327;140000;127.7000000;127.9100000;127.5200000;127.6400000
GAZP;60;20170327;150000;127.6200000;128.1500000;127.4100000;127.9500000
GAZP;60;20170327;160000;127.9500000;128.1000000;127.7900000;127.9300000
GAZP;60;20170327;170000;127.9200000;128.4200000;127.7300000;128.3900000
GAZP;60;20170327;180000;128.3900000;128.8300000;128.3000000;128.7800000
GAZP;60;20170327;190000;128.7800000;128.9600000;128.7000000;128.8000000
GAZP;60;20170328;110000;129.0000000;129.4300000;128.1600000;128.8500000
GAZP;60;20170328;120000;128.7800000;129.1900000;128.3200000;129.1200000
GAZP;60;20170328;130000;129.1200000;129.3600000;128.8000000;128.8500000
GAZP;60;20170328;140000;128.8300000;128.9500000;128.6100000;128.7500000
GAZP;60;20170328;150000;128.7700000;129.4200000;128.5100000;129.2900000
GAZP;60;20170328;160000;129.2900000;129.6000000;129.0000000;129.1100000
GAZP;60;20170328;170000;129.1100000;129.2500000;128.2000000;128.4600000
GAZP;60;20170328;180000;128.4100000;128.6600000;128.1000000;128.5700000
GAZP;60;20170328;190000;128.5400000;129.2000000;128.4000000;129.2000000
GAZP;60;20170329;110000;129.1300000;129.6000000;129.0600000;129.5400000
GAZP;60;20170329;120000;129.5200000;129.7800000;129.1000000;129.1100000
GAZP;60;20170329;130000;129.1700000;129.4300000;128.8500000;128.9600000
GAZP;60;20170329;140000;128.9700000;129.1500000;128.8000000;128.9900000
GAZP;60;20170329;150000;128.9900000;129.0500000;128.8100000;128.9000000
GAZP;60;20170329;160000;128.9000000;129.2900000;128.8100000;129.0000000
GAZP;60;20170329;170000;129.0300000;129.2400000;128.8900000;129.2300000
GAZP;60;20170329;180000;129.2200000;129.2700000;128.6500000;129.2000000
GAZP;60;20170329;190000;129.1800000;129.2400000;128.5500000;128.8100000
GAZP;60;20170330;110000;129.1500000;129.9900000;128.9000000;129.7100000
GAZP;60;20170330;120000;129.6900000;129.7400000;129.1200000;129.1700000
GAZP;60;20170330;130000;129.1500000;129.2600000;128.8500000;128.9100000
GAZP;60;20170330;140000;128.9100000;128.9300000;128.5000000;128.6500000
GAZP;60;20170330;150000;128.6100000;128.8500000;128.3800000;128.3800000
GAZP;60;20170330;160000;128.4000000;128.9500000;128.2300000;128.9000000
GAZP;60;20170330;170000;128.8800000;129.4300000;128.8400000;128.8900000
